index,ecg_value,gsr_value,par,q_status,a_status
64,0.453568,0.290323,1,0,0
65,0.438905,0.290323,0,0,0
66,0.461388,0.290323,1,0,0
67,0.488759,0.290323,0,0,0
68,0.488759,0.290323,1,0,0
69,0.407625,0.290323,0,0,0
70,0.000000,0.290323,1,0,0
71,0.000000,0.290323,0,0,0
72,0.283480,0.290323,1,0,0
73,1.000000,0.290323,0,0,0
74,1.000000,0.290323,1,0,0
75,1.000000,0.290323,0,0,0
76,1.000000,0.290323,1,0,0
77,1.000000,0.290323,0,0,0
78,1.000000,0.290323,1,0,0
79,1.000000,0.290323,0,0,0
80,1.000000,0.290323,1,0,0
81,1.000000,0.290323,0,0,0
82,1.000000,0.290323,1,0,0
83,1.000000,0.290323,0,0,0
84,1.000000,0.290323,1,0,0
85,1.000000,0.290323,0,0,0
86,1.000000,0.290323,1,0,0
87,1.000000,0.290323,0,0,0
88,1.000000,0.290323,1,0,0
89,1.000000,0.290323,0,0,0
90,1.000000,0.290323,1,0,0
91,1.000000,0.290323,0,0,0
92,1.000000,0.290323,1,0,0
93,1.000000,0.290323,0,0,0
94,1.000000,0.290323,1,0,0
95,1.000000,0.290323,0,0,0
96,0.543500,0.290323,1,0,0
97,1.000000,0.290323,0,0,0
98,1.000000,0.290323,1,0,0
99,1.000000,0.290323,0,0,0
100,0.779081,0.290323,1,0,0
101,0.303030,0.290323,0,0,0
102,1.000000,0.290323,1,0,0
103,1.000000,0.291300,0,0,0
104,1.000000,0.290323,1,0,0
105,1.000000,0.290323,0,0,0
106,0.361681,0.290323,1,0,0
107,1.000000,0.290323,0,0,0
108,1.000000,0.290323,1,0,0
109,1.000000,0.290323,0,0,0
110,0.809384,0.290323,1,0,0
111,0.000000,0.290323,0,0,0
112,0.209189,0.290323,1,0,0
113,1.000000,0.290323,0,0,0
114,1.000000,0.290323,1,0,0
115,0.805474,0.290323,0,0,0
116,0.317693,0.290323,1,0,0
117,1.000000,0.290323,0,0,0
118,1.000000,0.290323,1,0,0
119,1.000000,0.290323,0,0,0
120,0.851417,0.290323,1,0,0
121,0.101662,0.290323,0,0,0
122,1.000000,0.290323,1,0,0
123,1.000000,0.290323,0,0,0
124,1.000000,0.290323,1,0,0
125,0.641251,0.290323,0,0,0
126,0.000000,0.290323,1,0,0
127,1.000000,0.290323,0,0,0
128,1.000000,0.290323,1,0,0
129,1.000000,0.290323,0,0,0
130,0.000000,0.290323,1,0,0
131,0.000000,0.290323,0,0,0
132,0.000000,0.290323,1,0,0
133,0.000000,0.290323,0,0,0
134,0.000000,0.290323,1,0,0
135,0.115347,0.290323,0,0,0
136,0.335288,0.290323,1,0,0
137,0.516129,0.290323,0,0,0
138,0.543500,0.290323,1,0,0
139,0.519062,0.290323,0,0,0
140,0.479961,0.290323,1,0,0
141,0.459433,0.290323,0,0,0
142,0.480938,0.290323,1,0,0
143,0.494624,0.290323,0,0,0
144,0.474096,0.290323,1,0,0
145,0.441838,0.290323,0,0,0
146,0.423265,0.290323,1,0,0
147,0.397849,0.290323,0,0,0
148,0.413490,0.290323,1,0,0
149,0.421310,0.290323,0,0,0
150,0.427175,0.290323,1,0,0
151,0.443793,0.290323,0,0,0
152,0.464321,0.290323,1,0,0
153,0.490714,0.290323,0,0,0
154,0.474096,0.290323,1,0,0
155,0.446725,0.290323,0,0,0
