index,ecg_value,gsr_value,q_status,a_status
197,1.000000,0.280547,0,0
198,1.000000,0.280547,0,0
199,0.447703,0.281525,0,0
200,0.000000,0.280547,0,0
201,0.000000,0.280547,0,0
202,0.818182,0.280547,0,0
203,1.000000,0.280547,0,0
204,1.000000,0.281525,0,0
205,0.057674,0.281525,0,0
206,0.000000,0.280547,0,0
207,0.282502,0.280547,0,0
208,1.000000,0.280547,0,0
209,1.000000,0.280547,0,0
210,0.638319,0.281525,0,0
211,0.000000,0.281525,0,0
212,0.000000,0.280547,0,0
213,0.808407,0.280547,0,0
214,1.000000,0.280547,0,0
215,1.000000,0.281525,0,0
216,0.264907,0.281525,0,0
217,0.000000,0.280547,0,0
218,0.036168,0.280547,0,0
219,1.000000,0.280547,0,0
220,1.000000,0.280547,0,0
221,0.699902,0.281525,0,0
222,0.000000,0.281525,0,0
223,0.000000,0.280547,0,0
224,0.589443,0.280547,0,0
225,1.000000,0.280547,0,0
226,1.000000,0.281525,0,0
227,0.231672,0.281525,0,0
228,0.000000,0.281525,0,0
229,0.037146,0.280547,0,0
230,1.000000,0.280547,0,0
231,1.000000,0.280547,0,0
232,0.732160,0.281525,0,0
233,0.000000,0.281525,0,0
234,0.000000,0.280547,0,0
235,0.393939,0.280547,0,0
236,1.000000,0.280547,0,0
237,1.000000,0.281525,0,0
238,0.423265,0.281525,0,0
239,0.000000,0.281525,0,0
240,0.000000,0.280547,0,0
241,0.984360,0.280547,0,0
242,1.000000,0.280547,0,0
243,0.826979,0.281525,0,0
244,0.000000,0.281525,0,0
245,0.000000,0.280547,0,0
246,0.276637,0.280547,0,0
247,1.000000,0.280547,0,0
248,1.000000,0.280547,0,0
249,0.390029,0.281525,0,0
250,0.000000,0.281525,0,0
251,0.000000,0.280547,0,0
252,0.735093,0.280547,0,0
253,1.000000,0.280547,0,0
254,1.000000,0.281525,0,0
255,0.000000,0.281525,0,0
256,0.000000,0.280547,0,0
257,0.180841,0.280547,0,0
258,1.000000,0.280547,0,0
259,1.000000,0.281525,0,0
260,0.521994,0.281525,0,0
261,0.000000,0.281525,0,0
262,0.000000,0.280547,0,0
263,0.600196,0.280547,0,0
264,1.000000,0.280547,0,0
265,1.000000,0.281525,0,0
266,0.000000,0.281525,0,0
267,0.000000,0.281525,0,0
268,0.020528,0.280547,0,0
269,0.762463,0.280547,0,0
270,1.000000,0.280547,0,0
271,0.502444,0.281525,0,0
272,0.000000,0.281525,0,0
273,0.000000,0.280547,0,0
274,0.377322,0.280547,0,0
275,1.000000,0.280547,0,0
276,1.000000,0.281525,0,0
277,0.066471,0.281525,0,0
278,0.000000,0.281525,0,0
279,0.000000,0.280547,0,0
280,0.877810,0.280547,0,0
281,1.000000,0.280547,0,0
282,0.663734,0.281525,0,0
283,0.000000,0.281525,0,0
284,0.000000,0.280547,0,0
285,0.288368,0.280547,0,0
286,1.000000,0.280547,0,0
287,1.000000,0.281525,0,0
288,0.164223,0.281525,0,0
289,0.000000,0.281525,0,0
290,0.000000,0.280547,0,0
291,0.708700,0.280547,0,0
292,1.000000,0.280547,0,0
293,0.738025,0.281525,0,0
294,0.000000,0.281525,0,0
295,0.000000,0.280547,0,0
296,0.217986,0.280547,0,0
297,1.000000,0.280547,0,0
298,1.000000,0.281525,0,0
299,0.507331,0.281525,0,0
300,0.000000,0.281525,0,0
301,0.000000,0.280547,0,0
302,0.585533,0.280547,0,0
303,1.000000,0.280547,0,0
304,0.771261,0.281525,0,0
305,0.000000,0.281525,0,0
306,0.000000,0.281525,0,0
