index,ecg_value,gsr_value,par,q_status,a_status
57,0.458456,0.589443,0,0,0
58,0.575758,0.589443,1,0,0
59,0.449658,0.589443,0,0,0
60,0.242424,0.589443,1,0,0
61,0.290323,0.589443,0,0,0
62,0.522972,0.589443,1,0,0
63,0.576735,0.589443,0,0,0
64,0.388074,0.589443,1,0,0
65,0.269795,0.589443,0,0,0
66,0.401760,0.589443,1,0,0
67,0.583578,0.589443,0,0,0
68,0.624633,0.589443,1,0,0
69,0.484848,0.588465,0,0,0
70,0.333333,0.588465,1,0,0
71,0.356794,0.588465,0,0,0
72,0.533724,0.588465,1,0,0
73,0.667644,0.588465,0,0,0
74,0.608993,0.588465,1,0,0
75,0.422287,0.588465,0,0,0
76,0.347996,0.588465,1,0,0
77,0.485826,0.588465,0,0,0
78,0.641251,0.587488,1,0,0
79,0.618768,0.587488,0,0,0
80,0.443793,0.587488,1,0,0
81,0.304008,0.587488,0,0,0
82,0.357771,0.587488,1,0,0
83,0.580645,0.587488,0,0,0
84,0.601173,0.587488,1,0,0
85,0.390029,0.587488,0,0,0
86,0.279570,0.587488,1,0,0
87,0.359726,0.587488,0,0,0
88,0.586510,0.587488,1,0,0
89,0.591398,0.587488,0,0,0
90,0.381232,0.587488,1,0,0
91,0.300098,0.587488,0,0,0
92,0.464321,0.587488,1,0,0
93,0.627566,0.587488,0,0,0
94,0.562072,0.587488,1,0,0
95,0.387097,0.587488,0,0,0
96,0.312805,0.587488,1,0,0
97,0.493646,0.587488,0,0,0
98,0.647116,0.587488,1,0,0
99,0.562072,0.587488,0,0,0
100,0.353861,0.587488,1,0,0
101,0.382209,0.587488,0,0,0
102,0.608993,0.587488,1,0,0
103,0.688172,0.587488,0,0,0
104,0.577713,0.587488,1,0,0
105,0.400782,0.587488,0,0,0
106,0.406647,0.587488,1,0,0
107,0.579668,0.587488,0,0,0
108,0.673509,0.587488,1,0,0
109,0.535679,0.587488,0,0,0
110,0.357771,0.587488,1,0,0
111,0.346041,0.587488,0,0,0
112,0.556207,0.587488,1,0,0
113,0.646139,0.587488,0,0,0
114,0.535679,0.587488,1,0,0
115,0.314761,0.587488,0,0,0
116,0.328446,0.587488,1,0,0
117,0.549365,0.587488,0,0,0
118,0.600196,0.587488,1,0,0
119,0.430108,0.587488,0,0,0
120,0.291300,0.587488,1,0,0
121,0.397849,0.587488,0,0,0
122,0.572825,0.587488,1,0,0
123,0.599218,0.587488,0,0,0
124,0.425220,0.587488,1,0,0
125,0.314761,0.587488,0,0,0
126,0.442815,0.587488,1,0,0
127,0.642229,0.587488,0,0,0
128,0.609971,0.587488,1,0,0
129,0.386119,0.587488,0,0,0
130,0.342131,0.587488,1,0,0
131,0.530792,0.587488,0,0,0
132,0.658847,0.587488,1,0,0
133,0.534702,0.587488,0,0,0
134,0.356794,0.587488,1,0,0
135,0.315738,0.587488,0,0,0
136,0.452590,0.587488,1,0,0
137,0.614858,0.587488,0,0,0
138,0.463343,0.587488,1,0,0
139,0.292278,0.587488,0,0,0
140,0.270772,0.587488,1,0,0
141,0.411535,0.587488,0,0,0
142,0.551320,0.587488,1,0,0
143,0.504399,0.587488,0,0,0
144,0.270772,0.587488,1,0,0
145,0.216031,0.587488,0,0,0
146,0.402737,0.587488,1,0,0
147,0.531769,0.587488,0,0,0
148,0.476051,0.587488,1,0,0
149,0.313783,0.587488,0,0,0
150,0.209189,0.587488,1,0,0
151,0.313783,0.586510,0,0,0
152,0.542522,0.587488,1,0,0
153,0.540567,0.586510,0,0,0
154,0.328446,0.587488,1,0,0
155,0.284457,0.587488,0,0,0
156,0.455523,0.587488,1,0,0
157,0.611926,0.587488,0,0,0
158,0.524927,0.587488,1,0,0
159,0.342131,0.587488,0,0,0
160,0.320626,0.587488,1,0,0
161,0.496579,0.587488,0,0,0
162,0.621701,0.587488,1,0,0
163,0.495601,0.587488,0,0,0
164,0.301075,0.587488,1,0,0
165,0.329423,0.587488,0,0,0
