index,ecg_value,gsr_value,par,q_status,a_status
1735,0.533724,0.157380,0,0,0
1736,0.417400,0.157380,1,0,0
1737,0.355816,0.178886,0,0,0
1738,0.434018,0.187683,1,0,0
1739,0.518084,0.168133,0,0,0
1740,0.523949,0.156403,1,0,0
1741,0.430108,0.157380,0,0,0
1742,0.354839,0.179863,1,0,0
1743,0.415445,0.185728,0,0,0
1744,0.529814,0.167155,1,0,0
1745,0.514174,0.156403,0,0,0
1746,0.393939,0.161290,1,0,0
1747,0.358749,0.181818,0,0,0
1748,0.428153,0.183773,1,0,0
1749,0.536657,0.165200,0,0,0
1750,0.509286,0.156403,1,0,0
1751,0.386119,0.163245,0,0,0
1752,0.359726,0.181818,1,0,0
1753,0.434995,0.183773,0,0,0
1754,0.525904,0.167155,1,0,0
1755,0.504399,0.156403,0,0,0
1756,0.410557,0.163245,1,0,0
1757,0.360704,0.178886,0,0,0
1758,0.418377,0.185728,1,0,0
1759,0.520039,0.171065,0,0,0
1760,0.529814,0.156403,1,0,0
1761,0.434995,0.159335,0,0,0
1762,0.368524,0.182796,1,0,0
1763,0.441838,0.184751,0,0,0
1764,0.548387,0.165200,1,0,0
1765,0.528837,0.156403,0,0,0
1766,0.443793,0.161290,1,0,0
1767,0.376344,0.177908,0,0,0
1768,0.429130,0.186706,1,0,0
1769,0.552297,0.170088,0,0,0
1770,0.552297,0.157380,1,0,0
1771,0.431085,0.158358,0,0,0
1772,0.380254,0.180841,1,0,0
1773,0.467253,0.186706,0,0,0
1774,0.549365,0.165200,1,0,0
1775,0.510264,0.157380,0,0,0
1776,0.387097,0.168133,1,0,0
1777,0.387097,0.185728,0,0,0
1778,0.504399,0.178886,1,0,0
1779,0.550342,0.159335,0,0,0
1780,0.490714,0.157380,1,0,0
1781,0.373412,0.171065,0,0,0
1782,0.388074,0.186706,1,0,0
1783,0.509286,0.176931,0,0,0
1784,0.546432,0.158358,1,0,0
1785,0.478983,0.156403,0,0,0
1786,0.368524,0.173021,1,0,0
1787,0.395894,0.186706,0,0,0
1788,0.517107,0.173998,1,0,0
1789,0.542522,0.157380,0,0,0
1790,0.464321,0.156403,1,0,0
1791,0.362659,0.174976,0,0,0
1792,0.394917,0.185728,1,0,0
1793,0.485826,0.174976,0,0,0
1794,0.544477,0.158358,1,0,0
1795,0.488759,0.157380,0,0,0
1796,0.373412,0.171065,1,0,0
1797,0.389052,0.186706,0,0,0
1798,0.508309,0.176931,1,0,0
1799,0.547410,0.157380,0,0,0
1800,0.445748,0.157380,1,0,0
1801,0.364614,0.179863,0,0,0
1802,0.425220,0.184751,1,0,0
1803,0.537634,0.171065,0,0,0
1804,0.558162,0.157380,1,0,0
1805,0.475073,0.159335,0,0,0
1806,0.409580,0.176931,1,0,0
1807,0.484848,0.189638,0,0,0
1808,0.601173,0.170088,1,0,0
1809,0.632454,0.157380,0,0,0
1810,0.542522,0.165200,1,0,0
1811,0.531769,0.183773,0,0,0
1812,0.615836,0.185728,1,0,0
1813,0.709677,0.165200,0,0,0
1814,0.650049,0.158358,1,0,0
1815,0.461388,0.166178,0,0,0
1816,0.397849,0.183773,1,0,0
1817,0.487781,0.181818,0,0,0
1818,0.548387,0.160313,1,0,0
1819,0.482893,0.157380,0,0,0
1820,0.401760,0.171065,1,0,0
1821,0.400782,0.184751,0,0,0
1822,0.521994,0.179863,1,0,0
1823,0.565982,0.158358,0,0,0
1824,0.467253,0.156403,1,0,0
1825,0.378299,0.173021,0,0,0
1826,0.385142,0.185728,1,0,0
1827,0.508309,0.177908,0,0,0
1828,0.545455,0.157380,1,0,0
1829,0.482893,0.157380,0,0,0
1830,0.388074,0.169110,1,0,0
1831,0.375367,0.182796,0,0,0
1832,0.458456,0.181818,1,0,0
1833,0.543500,0.165200,0,0,0
1834,0.504399,0.156403,1,0,0
1835,0.401760,0.165200,0,0,0
1836,0.376344,0.187683,1,0,0
1837,0.464321,0.179863,0,0,0
1838,0.540567,0.164223,1,0,0
1839,0.526882,0.156403,0,0,0
1840,0.427175,0.160313,1,0,0
1841,0.372434,0.184751,0,0,0
1842,0.458456,0.183773,1,0,0
1843,0.563050,0.163245,0,0,0
1844,0.530792,0.157380,1,0,0
1845,0.406647,0.166178,0,0,0
1846,0.390029,0.183773,1,0,0
1847,0.471163,0.181818,0,0,0
1848,0.548387,0.166178,1,0,0
1849,0.538612,0.156403,0,0,0
1850,0.415445,0.160313,1,0,0
1851,0.380254,0.180841,0,0,0
1852,0.454545,0.184751,1,0,0
1853,0.565982,0.166178,0,0,0
1854,0.545455,0.157380,1,0,0
1855,0.446725,0.160313,0,0,0
1856,0.385142,0.178886,1,0,0
1857,0.430108,0.185728,0,0,0
1858,0.533724,0.173021,1,0,0
1859,0.560117,0.157380,0,0,0
1860,0.477028,0.158358,1,0,0
1861,0.397849,0.174976,0,0,0
1862,0.451613,0.190616,1,0,0
1863,0.554252,0.171065,0,0,0
1864,0.562072,0.157380,1,0,0
1865,0.469208,0.159335,0,0,0
1866,0.403715,0.176931,1,0,0
1867,0.439883,0.186706,0,0,0
1868,0.568915,0.173021,1,0,0
1869,0.587488,0.157380,0,0,0
1870,0.479961,0.157380,1,0,0
1871,0.425220,0.179863,0,0,0
1872,0.509286,0.188661,1,0,0
1873,0.608016,0.168133,0,0,0
1874,0.591398,0.158358,1,0,0
1875,0.504399,0.163245,0,0,0
1876,0.450635,0.180841,1,0,0
1877,0.513196,0.186706,0,0,0
1878,0.632454,0.169110,1,0,0
1879,0.624633,0.158358,0,0,0
1880,0.502444,0.161290,1,0,0
1881,0.465298,0.182796,0,0,0
1882,0.564027,0.186706,1,0,0
1883,0.639296,0.165200,0,0,0
1884,0.625611,0.157380,1,0,0
1885,0.519062,0.161290,0,0,0
1886,0.455523,0.179863,1,0,0
1887,0.530792,0.188661,0,0,0
1888,0.617791,0.168133,1,0,0
1889,0.589443,0.157380,0,0,0
1890,0.453568,0.166178,1,0,0
1891,0.431085,0.183773,0,0,0
1892,0.507331,0.182796,1,0,0
1893,0.580645,0.166178,0,0,0
1894,0.563050,0.157380,1,0,0
1895,0.458456,0.159335,0,0,0
1896,0.380254,0.181818,1,0,0
1897,0.442815,0.184751,0,0,0
1898,0.544477,0.165200,1,0,0
1899,0.514174,0.156403,0,0,0
1900,0.384164,0.163245,1,0,0
1901,0.350929,0.181818,0,0,0
1902,0.421310,0.182796,1,0,0
1903,0.504399,0.168133,0,0,0
1904,0.510264,0.156403,1,0,0
1905,0.418377,0.157380,0,0,0
1906,0.336266,0.178886,1,0,0
1907,0.398827,0.185728,0,0,0
1908,0.514174,0.167155,1,0,0
1909,0.507331,0.156403,0,0,0
1910,0.413490,0.158358,1,0,0
1911,0.340176,0.175953,0,0,0
1912,0.371457,0.185728,1,0,0
1913,0.471163,0.174976,0,0,0
1914,0.519062,0.159335,1,0,0
1915,0.463343,0.156403,0,0,0
1916,0.346041,0.170088,1,0,0
1917,0.357771,0.185728,0,0,0
1918,0.482893,0.176931,1,0,0
1919,0.520039,0.157380,0,0,0
1920,0.423265,0.156403,1,0,0
1921,0.347996,0.173998,0,0,0
1922,0.372434,0.186706,1,0,0
1923,0.502444,0.174976,0,0,0
1924,0.529814,0.157380,1,0,0
1925,0.453568,0.156403,0,0,0
1926,0.348974,0.174976,1,0,0
1927,0.384164,0.186706,0,0,0
1928,0.512219,0.172043,1,0,0
1929,0.526882,0.156403,0,0,0
1930,0.447703,0.157380,1,0,0
1931,0.356794,0.176931,0,0,0
1932,0.402737,0.186706,1,0,0
1933,0.523949,0.170088,0,0,0
1934,0.526882,0.157380,1,0,0
1935,0.436950,0.157380,0,0,0
1936,0.353861,0.179863,1,0,0
1937,0.444770,0.187683,0,0,0
1938,0.527859,0.166178,1,0,0
1939,0.524927,0.156403,0,0,0
1940,0.427175,0.158358,1,0,0
1941,0.353861,0.176931,0,0,0
1942,0.418377,0.189638,1,0,0
1943,0.517107,0.168133,0,0,0
1944,0.510264,0.156403,1,0,0
1945,0.411535,0.160313,0,0,0
1946,0.354839,0.183773,1,0,0
1947,0.463343,0.184751,0,0,0
1948,0.530792,0.162268,1,0,0
1949,0.498534,0.156403,0,0,0
1950,0.373412,0.165200,1,0,0
1951,0.358749,0.183773,0,0,0
1952,0.475073,0.181818,1,0,0
1953,0.531769,0.156403,0,0,0
1954,0.452590,0.156403,1,0,0
1955,0.353861,0.174976,0,0,0
1956,0.390029,0.186706,1,0,0
1957,0.487781,0.174976,0,0,0
1958,0.539589,0.158358,1,0,0
1959,0.452590,0.156403,0,0,0
1960,0.365591,0.173021,1,0,0
1961,0.402737,0.190616,0,0,0
1962,0.500489,0.173021,1,0,0
1963,0.542522,0.157380,0,0,0
1964,0.444770,0.157380,1,0,0
1965,0.365591,0.174976,0,0,0
1966,0.387097,0.185728,1,0,0
1967,0.487781,0.176931,0,0,0
1968,0.542522,0.156403,1,0,0
1969,0.465298,0.157380,0,0,0
1970,0.360704,0.174976,1,0,0
1971,0.426197,0.189638,0,0,0
1972,0.519062,0.169110,1,0,0
1973,0.535679,0.157380,0,0,0
1974,0.421310,0.157380,1,0,0
1975,0.360704,0.176931,0,0,0
1976,0.403715,0.186706,1,0,0
1977,0.499511,0.173021,0,0,0
1978,0.538612,0.157380,1,0,0
1979,0.472141,0.156403,0,0,0
1980,0.360704,0.173021,1,0,0
1981,0.381232,0.184751,0,0,0
1982,0.480938,0.176931,1,0,0
1983,0.542522,0.160313,0,0,0
1984,0.466276,0.156403,1,0,0
1985,0.371457,0.171065,0,0,0
1986,0.391984,0.189638,1,0,0
1987,0.492669,0.174976,0,0,0
1988,0.530792,0.156403,1,0,0
1989,0.450635,0.156403,0,0,0
1990,0.361681,0.172043,1,0,0
1991,0.370479,0.185728,0,0,0
